Label (Grouping),Citizens 18 years and over, AGE, 18 to 29 years, 30 to 44 years, 45 to 64 years, 65 years and over, SEX, Male, Female, RACE AND HISPANIC ORIGIN, White alone, Black or African American alone, Asian alone, American Indian and Alaska Native alone, Native Hawaiian and Other Pacific Islander alone, Some Other Race alone, Two or More Races, Hispanic or Latino," White alone, Not Hispanic or Latino", EDUCATIONAL ATTAINMENT, Less than 9th grade," 9th to 12th grade, no diploma", High school graduate (includes equivalency)," Some college, no degree", Associate's degree, Bachelor's degree, Graduate or professional degree, High school degree or higher, Bachelor's degree or higher, POVERTY STATUS," Total Citizens, 18 years and older, for whom poverty status is determined", Income in the past 12 months below poverty level, Income in the past 12 months at or above the poverty level, HOUSEHOLD INCOME (IN 2019 INFLATION-ADJUSTED DOLLARS)," Median Household Income for Households with a Citizen, Voting-Age Householder"
"Congressional District 48 (116th Congress), California!!Total!!Margin of Error","±9,780",,"±5,891","±5,615","±6,629","±5,117",,"±6,594","±5,911",,"±10,395",N,"±5,553",N,N,"±5,668","±3,060","±6,918","±9,628",,"±2,352","±3,007","±4,607","±5,415","±3,884","±6,241","±4,798","±9,103","±7,256",,"±9,941","±3,410","±9,201",,"±3,561"
"Congressional District 48 (116th Congress), California!!Percent!!Estimate",(X),,18.40%,22.60%,34.90%,24.10%,,48.20%,51.80%,,68.30%,N,18.90%,N,N,6.90%,3.90%,15.50%,60.60%,,3.30%,4.50%,16.40%,22.70%,8.70%,28.70%,15.60%,92.20%,44.30%,,(X),6.40%,93.60%,,(X)
"Congressional District 48 (116th Congress), California!!Percent!!Margin of Error",(X),,±1.1,±1.0,±1.0,±0.9,,±0.8,±0.8,,±1.5,N,±1.0,N,N,±1.1,±0.6,±1.3,±1.5,,±0.5,±0.6,±0.9,±1.0,±0.7,±1.1,±0.9,±0.7,±1.2,,(X),±0.6,±0.6,,(X)
"Congressional District 49 (116th Congress), California!!Total!!Estimate","519,217",,"107,331","120,797","175,736","115,353",,"256,155","263,062",,"428,544","13,878","34,513",N,N,"13,668","21,677","110,450","341,974",,"15,685","17,819","89,587","118,159","43,837","142,867","91,263","485,713","234,130",,"501,421","25,994","475,427",,"101,853"
"Congressional District 49 (116th Congress), California!!Total!!Margin of Error","±11,969",,"±6,697","±5,877","±7,413","±5,669",,"±7,705","±6,995",,"±11,035","±2,849","±4,182",N,N,"±2,625","±4,121","±7,165","±10,335",,"±2,563","±2,289","±5,143","±6,196","±4,871","±6,241","±5,198","±12,354","±7,460",,"±11,478","±3,031","±12,073",,"±2,679"
"Congressional District 49 (116th Congress), California!!Percent!!Estimate",(X),,20.70%,23.30%,33.80%,22.20%,,49.30%,50.70%,,82.50%,2.70%,6.60%,N,N,2.60%,4.20%,21.30%,65.90%,,3.00%,3.40%,17.30%,22.80%,8.40%,27.50%,17.60%,93.50%,45.10%,,(X),5.20%,94.80%,,(X)
"Congressional District 49 (116th Congress), California!!Percent!!Margin of Error",(X),,±1.1,±1.0,±1.2,±1.0,,±0.8,±0.8,,±1.1,±0.5,±0.8,N,N,±0.5,±0.8,±1.3,±1.4,,±0.5,±0.4,±0.9,±1.1,±0.9,±1.1,±1.0,±0.6,±1.2,,(X),±0.6,±0.6,,(X)
"Congressional District 50 (116th Congress), California!!Total!!Estimate","524,595",,"111,473","128,424","171,807","112,891",,"264,948","259,647",,"424,715",N,"29,686",N,N,"24,432","23,079","131,166","326,874",,"20,879","28,245","125,276","148,607","47,626","100,681","53,281","475,471","153,962",,"520,526","48,258","472,268",,"81,690"
"Congressional District 50 (116th Congress), California!!Total!!Margin of Error","±14,474",,"±7,357","±7,404","±7,950","±6,192",,"±8,168","±8,867",,"±13,374",N,"±4,562",N,N,"±3,881","±3,937","±9,515","±10,322",,"±3,151","±3,133","±7,306","±7,525","±3,814","±6,164","±4,730","±13,970","±8,270",,"±14,280","±5,866","±14,367",,"±2,408"
"Congressional District 50 (116th Congress), California!!Percent!!Estimate",(X),,21.20%,24.50%,32.80%,21.50%,,50.50%,49.50%,,81.00%,N,5.70%,N,N,4.70%,4.40%,25.00%,62.30%,,4.00%,5.40%,23.90%,28.30%,9.10%,19.20%,10.20%,90.60%,29.30%,,(X),9.30%,90.70%,,(X)
