Label (Grouping),Citizens 18 years and over, AGE, 18 to 29 years, 30 to 44 years, 45 to 64 years, 65 years and over, SEX, Male, Female, RACE AND HISPANIC ORIGIN, White alone, Black or African American alone, Asian alone, American Indian and Alaska Native alone, Native Hawaiian and Other Pacific Islander alone, Some Other Race alone, Two or More Races, Hispanic or Latino," White alone, Not Hispanic or Latino", EDUCATIONAL ATTAINMENT, Less than 9th grade," 9th to 12th grade, no diploma", High school graduate (includes equivalency)," Some college, no degree", Associate's degree, Bachelor's degree, Graduate or professional degree, High school degree or higher, Bachelor's degree or higher, POVERTY STATUS," Total Citizens, 18 years and older, for whom poverty status is determined", Income in the past 12 months below poverty level, Income in the past 12 months at or above the poverty level, HOUSEHOLD INCOME (IN 2019 INFLATION-ADJUSTED DOLLARS)," Median Household Income for Households with a Citizen, Voting-Age Householder"
"Congressional District 2 (116th Congress), Rhode Island!!Percent!!Estimate",(X),,21.30%,21.80%,33.80%,23.10%,,47.20%,52.80%,,86.30%,4.50%,2.90%,N,N,3.30%,2.70%,9.80%,81.60%,,2.30%,5.30%,29.30%,21.40%,8.40%,20.70%,12.60%,92.40%,33.30%,,(X),8.80%,91.20%,,(X)
"Congressional District 2 (116th Congress), Rhode Island!!Percent!!Margin of Error",(X),,±0.8,±0.9,±0.8,±0.7,,±0.7,±0.7,,±1.2,±0.8,±0.5,N,N,±1.0,±0.7,±1.1,±1.1,,±0.4,±0.7,±1.5,±1.6,±0.8,±1.3,±0.9,±0.8,±1.6,,(X),±1.1,±1.1,,(X)
"Congressional District 1 (116th Congress), South Carolina!!Total!!Estimate","615,755",,"113,278","153,275","196,064","153,138",,"291,781","323,974",,"469,997",N,"9,540",N,N,"8,580","10,213","19,549","460,250",,"11,173","32,045","141,160","136,997","55,990","148,131","90,259","572,537","238,390",,"608,653","46,613","562,040",,"77,768"
"Congressional District 1 (116th Congress), South Carolina!!Total!!Margin of Error","±7,617",,"±4,278","±3,994","±4,278","±2,875",,"±4,053","±4,933",,"±5,432",N,"±1,678",N,N,"±2,729","±2,480","±2,504","±4,988",,"±2,175","±3,785","±8,275","±7,768","±4,999","±7,275","±5,484","±7,163","±7,475",,"±8,004","±5,282","±9,361",,"±2,816"
"Congressional District 1 (116th Congress), South Carolina!!Percent!!Estimate",(X),,18.40%,24.90%,31.80%,24.90%,,47.40%,52.60%,,76.30%,N,1.50%,N,N,1.40%,1.70%,3.20%,74.70%,,1.80%,5.20%,22.90%,22.20%,9.10%,24.10%,14.70%,93.00%,38.70%,,(X),7.70%,92.30%,,(X)
"Congressional District 1 (116th Congress), South Carolina!!Percent!!Margin of Error",(X),,±0.6,±0.6,±0.6,±0.5,,±0.4,±0.4,,±1.0,N,±0.3,N,N,±0.4,±0.4,±0.4,±1.0,,±0.3,±0.6,±1.3,±1.2,±0.8,±1.2,±0.9,±0.7,±1.3,,(X),±0.9,±0.9,,(X)
"Congressional District 2 (116th Congress), South Carolina!!Total!!Estimate","541,862",,"109,999","126,423","185,052","120,388",,"257,460","284,402",,"388,968","131,530","7,094",N,N,"2,478",N,"18,784","375,985",,"13,077","39,027","143,594","120,540","51,135","108,133","66,356","489,758","174,489",,"525,536","52,644","472,892",,"61,233"
"Congressional District 2 (116th Congress), South Carolina!!Total!!Margin of Error","±7,745",,"±3,827","±4,244","±3,700","±2,527",,"±4,793","±4,829",,"±4,689","±6,520","±1,187",N,N,"±1,174",N,"±2,276","±4,525",,"±2,250","±3,996","±5,909","±7,024","±4,249","±5,481","±5,343","±7,744","±7,065",,"±7,642","±5,661","±8,455",,"±1,729"
"Congressional District 2 (116th Congress), South Carolina!!Percent!!Estimate",(X),,20.30%,23.30%,34.20%,22.20%,,47.50%,52.50%,,71.80%,24.30%,1.30%,N,N,0.50%,N,3.50%,69.40%,,2.40%,7.20%,26.50%,22.20%,9.40%,20.00%,12.20%,90.40%,32.20%,,(X),10.00%,90.00%,,(X)
"Congressional District 2 (116th Congress), South Carolina!!Percent!!Margin of Error",(X),,±0.6,±0.6,±0.6,±0.5,,±0.5,±0.5,,±1.0,±1.0,±0.2,N,N,±0.2,N,±0.4,±1.0,,±0.4,±0.7,±1.2,±1.2,±0.8,±1.0,±0.9,±0.9,±1.1,,(X),±1.1,±1.1,,(X)
"Congressional District 3 (116th Congress), South Carolina!!Total!!Estimate","540,303",,"112,508","113,421","182,065","132,309",,"259,782","280,521",,"421,142",N,"3,247",N,N,"3,161",N,"12,156","412,769",,"16,190","53,980","175,995","119,958","55,027","74,446","44,707","470,133","119,153",,"521,997","71,104","450,893",,"50,647"
"Congressional District 3 (116th Congress), South Carolina!!Total!!Margin of Error","±5,295",,"±3,311","±3,412","±3,532","±1,944",,"±3,567","±3,076",,"±3,693",N,±711,N,N,"±1,163",N,"±2,315","±3,396",,"±2,085","±4,559","±5,931","±6,337","±4,556","±4,475","±3,909","±6,652","±5,310",,"±5,922","±6,630","±8,294",,"±1,638"
"Congressional District 3 (116th Congress), South Carolina!!Percent!!Estimate",(X),,20.80%,21.00%,33.70%,24.50%,,48.10%,51.90%,,77.90%,N,0.60%,N,N,0.60%,N,2.20%,76.40%,,3.00%,10.00%,32.60%,22.20%,10.20%,13.80%,8.30%,87.00%,22.10%,,(X),13.60%,86.40%,,(X)
"Congressional District 3 (116th Congress), South Carolina!!Percent!!Margin of Error",(X),,±0.5,±0.6,±0.6,±0.4,,±0.4,±0.4,,±0.6,N,±0.1,N,N,±0.2,N,±0.4,±0.7,,±0.4,±0.8,±1.1,±1.1,±0.8,±0.8,±0.7,±0.9,±1.0,,(X),±1.3,±1.3,,(X)
"Congressional District 4 (116th Congress), South Carolina!!Total!!Estimate","555,462",,"113,967","134,651","184,251","122,593",,"262,763","292,699",,"427,004","101,326","10,959",N,N,"5,400","7,404","24,487","409,984",,"14,549","44,481","144,593","122,433","53,754","113,819","61,833","496,432","175,652",,"539,590","49,908","489,682",,"60,992"
"Congressional District 4 (116th Congress), South Carolina!!Total!!Margin of Error","±5,978",,"±3,261","±2,757","±3,779","±2,055",,"±3,758","±3,333",,"±4,679","±3,508","±1,746",N,N,"±1,504","±1,601","±2,544","±4,072",,"±1,685","±4,264","±6,572","±5,770","±4,523","±4,492","±3,530","±7,077","±4,939",,"±6,079","±4,179","±7,240",,"±1,699"
"Congressional District 4 (116th Congress), South Carolina!!Percent!!Estimate",(X),,20.50%,24.20%,33.20%,22.10%,,47.30%,52.70%,,76.90%,18.20%,2.00%,N,N,1.00%,1.30%,4.40%,73.80%,,2.60%,8.00%,26.00%,22.00%,9.70%,20.50%,11.10%,89.40%,31.60%,,(X),9.20%,90.80%,,(X)
"Congressional District 4 (116th Congress), South Carolina!!Percent!!Margin of Error",(X),,±0.5,±0.5,±0.6,±0.3,,±0.4,±0.4,,±0.6,±0.6,±0.3,N,N,±0.3,±0.3,±0.4,±0.6,,±0.3,±0.8,±1.1,±1.0,±0.8,±0.8,±0.6,±0.8,±0.9,,(X),±0.8,±0.8,,(X)
"Congressional District 5 (116th Congress), South Carolina!!Total!!Estimate","553,076",,"99,551","134,634","191,364","127,527",,"261,061","292,015",,"386,527","147,711","6,632",N,N,N,N,"12,399","377,737",,"16,811","45,153","169,535","133,584","54,501","87,980","45,512","491,112","133,492",,"542,658","61,617","481,041",,"56,619"
"Congressional District 5 (116th Congress), South Carolina!!Total!!Margin of Error","±5,036",,"±3,642","±3,850","±3,502","±2,111",,"±3,419","±3,877",,"±4,033","±3,592","±1,497",N,N,N,N,"±2,109","±3,299",,"±2,011","±4,185","±7,733","±7,090","±4,388","±5,651","±4,063","±6,114","±7,011",,"±5,694","±5,549","±7,166",,"±1,757"
"Congressional District 5 (116th Congress), South Carolina!!Percent!!Estimate",(X),,18.00%,24.30%,34.60%,23.10%,,47.20%,52.80%,,69.90%,26.70%,1.20%,N,N,N,N,2.20%,68.30%,,3.00%,8.20%,30.70%,24.20%,9.90%,15.90%,8.20%,88.80%,24.10%,,(X),11.40%,88.60%,,(X)
"Congressional District 5 (116th Congress), South Carolina!!Percent!!Margin of Error",(X),,±0.6,±0.6,±0.6,±0.4,,±0.5,±0.5,,±0.6,±0.6,±0.3,N,N,N,N,±0.4,±0.6,,±0.4,±0.7,±1.3,±1.3,±0.8,±1.0,±0.7,±0.8,±1.2,,(X),±1.0,±1.0,,(X)
"Congressional District 6 (116th Congress), South Carolina!!Total!!Estimate","510,628",,"129,622","116,748","156,885","107,373",,"246,100","264,528",,"211,459","278,092","4,079",N,N,"6,745",N,"13,740","205,470",,"15,791","55,198","165,280","128,111","41,470","66,929","37,849","439,639","104,778",,"473,122","94,762","378,360",,"41,101"
"Congressional District 6 (116th Congress), South Carolina!!Total!!Margin of Error","±10,413",,"±5,969","±5,885","±5,801","±4,083",,"±6,410","±6,650",,"±6,995","±8,562","±1,416",N,N,"±1,814",N,"±2,046","±6,707",,"±2,180","±4,470","±5,760","±6,425","±3,248","±4,481","±3,418","±10,114","±5,973",,"±10,842","±6,898","±10,279",,"±1,556"
"Congressional District 6 (116th Congress), South Carolina!!Percent!!Estimate",(X),,25.40%,22.90%,30.70%,21.00%,,48.20%,51.80%,,41.40%,54.50%,0.80%,N,N,1.30%,N,2.70%,40.20%,,3.10%,10.80%,32.40%,25.10%,8.10%,13.10%,7.40%,86.10%,20.50%,,(X),20.00%,80.00%,,(X)
"Congressional District 6 (116th Congress), South Carolina!!Percent!!Margin of Error",(X),,±1.0,±1.0,±1.0,±0.8,,±0.8,±0.8,,±1.1,±1.2,±0.3,N,N,±0.4,N,±0.4,±1.2,,±0.4,±0.8,±1.0,±1.1,±0.6,±0.8,±0.7,±0.9,±1.1,,(X),±1.3,±1.3,,(X)
"Congressional District 7 (116th Congress), South Carolina!!Total!!Estimate","575,255",,"101,225","113,985","196,651","163,394",,"268,150","307,105",,"408,201","153,251","3,754",N,N,N,N,"10,023","400,164",,"19,661","50,929","204,547","127,401","51,657","76,868","44,192","504,665","121,060",,"563,538","77,897","485,641",,"49,842"
"Congressional District 7 (116th Congress), South Carolina!!Total!!Margin of Error","±4,287",,"±2,161","±4,038","±2,894","±2,136",,"±3,064","±2,968",,"±3,044","±3,462",±863,N,N,N,N,"±1,983","±2,713",,"±2,784","±4,210","±6,781","±5,891","±3,854","±4,243","±3,379","±6,013","±5,249",,"±5,136","±6,083","±7,568",,"±1,549"
"Congressional District 7 (116th Congress), South Carolina!!Percent!!Estimate",(X),,17.60%,19.80%,34.20%,28.40%,,46.60%,53.40%,,71.00%,26.60%,0.70%,N,N,N,N,1.70%,69.60%,,3.40%,8.90%,35.60%,22.10%,9.00%,13.40%,7.70%,87.70%,21.00%,,(X),13.80%,86.20%,,(X)
"Congressional District 7 (116th Congress), South Carolina!!Percent!!Margin of Error",(X),,±0.4,±0.6,±0.5,±0.4,,±0.4,±0.4,,±0.5,±0.5,±0.1,N,N,N,N,±0.3,±0.5,,±0.5,±0.7,±1.1,±1.0,±0.7,±0.7,±0.6,±0.8,±0.9,,(X),±1.1,±1.1,,(X)
"Congressional District (at Large) (116th Congress), South Dakota!!Total!!Estimate","653,394",,"134,495","156,508","208,953","153,438",,"327,804","325,590",,"575,570","9,704","5,933",N,N,"2,045",N,"15,345","564,855",,"14,136","37,135","201,503","148,163","73,980","125,635","52,842","602,123","178,477",,"629,200","67,163","562,037",,"60,242"
"Congressional District (at Large) (116th Congress), South Dakota!!Total!!Margin of Error","±3,086",,"±2,445","±2,366","±2,362","±1,242",,"±2,424","±2,308",,"±1,825","±2,011","±1,582",N,N,±771,N,"±1,211",±980,,"±2,021","±3,231","±6,636","±6,004","±3,882","±5,757","±3,995","±4,829","±7,514",,"±3,096","±4,537","±5,349",,"±1,591"
"Congressional District (at Large) (116th Congress), South Dakota!!Percent!!Estimate",(X),,20.60%,24.00%,32.00%,23.50%,,50.20%,49.80%,,88.10%,1.50%,0.90%,N,N,0.30%,N,2.30%,86.40%,,2.20%,5.70%,30.80%,22.70%,11.30%,19.20%,8.10%,92.20%,27.30%,,(X),10.70%,89.30%,,(X)
"Congressional District (at Large) (116th Congress), South Dakota!!Percent!!Margin of Error",(X),,±0.3,±0.3,±0.4,±0.2,,±0.3,±0.3,,±0.4,±0.3,±0.2,N,N,±0.1,N,±0.2,±0.4,,±0.3,±0.5,±1.0,±0.9,±0.6,±0.9,±0.6,±0.6,±1.2,,(X),±0.7,±0.7,,(X)
"Congressional District 1 (116th Congress), Tennessee!!Total!!Estimate","570,495",,"103,140","116,194","201,413","149,748",,"275,224","295,271",,"543,076",N,"3,151",N,N,N,N,"9,986","535,408",,"24,046","51,589","211,434","120,598","44,559","76,809","41,460","494,860","118,269",,"555,659","76,885","478,774",,"47,916"
"Congressional District 1 (116th Congress), Tennessee!!Total!!Margin of Error","±3,318",,"±2,319","±2,291","±2,357","±1,782",,"±2,234","±2,230",,"±3,278",N,±946,N,N,N,N,"±1,590","±3,191",,"±3,329","±4,516","±8,366","±6,901","±3,388","±4,440","±4,044","±6,700","±6,294",,"±4,370","±5,367","±7,020",,"±1,879"
"Congressional District 1 (116th Congress), Tennessee!!Percent!!Estimate",(X),,18.10%,20.40%,35.30%,26.20%,,48.20%,51.80%,,95.20%,N,0.60%,N,N,N,N,1.80%,93.80%,,4.20%,9.00%,37.10%,21.10%,7.80%,13.50%,7.30%,86.70%,20.70%,,(X),13.80%,86.20%,,(X)
"Congressional District 1 (116th Congress), Tennessee!!Percent!!Margin of Error",(X),,±0.4,±0.4,±0.4,±0.3,,±0.3,±0.3,,±0.3,N,±0.2,N,N,N,N,±0.3,±0.4,,±0.6,±0.8,±1.4,±1.2,±0.6,±0.8,±0.7,±1.0,±1.1,,(X),±1.0,±1.0,,(X)
"Congressional District 2 (116th Congress), Tennessee!!Total!!Estimate","587,665",,"125,991","128,958","194,515","138,201",,"281,680","305,985",,"534,048","33,365","7,109",N,N,N,N,"12,096","523,981",,"16,647","37,901","177,575","138,807","46,877","105,764","64,094","533,117","169,858",,"572,742","66,111","506,631",,"58,376"
"Congressional District 2 (116th Congress), Tennessee!!Total!!Margin of Error","±3,808",,"±2,157","±2,416","±2,598","±1,652",,"±2,826","±2,199",,"±3,647","±1,525",±996,N,N,N,N,"±2,031","±2,962",,"±1,933","±3,059","±6,979","±6,123","±4,124","±5,066","±4,555","±5,229","±6,647",,"±4,377","±5,146","±6,291",,"±2,634"
"Congressional District 2 (116th Congress), Tennessee!!Percent!!Estimate",(X),,21.40%,21.90%,33.10%,23.50%,,47.90%,52.10%,,90.90%,5.70%,1.20%,N,N,N,N,2.10%,89.20%,,2.80%,6.40%,30.20%,23.60%,8.00%,18.00%,10.90%,90.70%,28.90%,,(X),11.50%,88.50%,,(X)
"Congressional District 2 (116th Congress), Tennessee!!Percent!!Margin of Error",(X),,±0.3,±0.4,±0.4,±0.3,,±0.3,±0.3,,±0.3,±0.3,±0.2,N,N,N,N,±0.3,±0.4,,±0.3,±0.5,±1.2,±1.0,±0.7,±0.9,±0.8,±0.7,±1.1,,(X),±0.9,±0.9,,(X)
"Congressional District 3 (116th Congress), Tennessee!!Total!!Estimate","573,580",,"106,630","129,742","197,052","140,156",,"278,503","295,077",,"496,157",N,"6,687",N,N,"1,361",N,"10,668","488,354",,"22,825","44,181","186,330","133,047","47,752","91,100","48,345","506,574","139,445",,"556,605","72,313","484,292",,"52,673"
"Congressional District 3 (116th Congress), Tennessee!!Total!!Margin of Error","±4,514",,"±2,412","±2,272","±3,068","±2,640",,"±3,231","±2,611",,"±3,948",N,"±1,197",N,N,±484,N,"±1,637","±3,528",,"±2,830","±4,011","±6,775","±5,374","±3,719","±5,671","±4,053","±6,015","±6,349",,"±4,956","±6,170","±7,334",,"±1,600"
"Congressional District 3 (116th Congress), Tennessee!!Percent!!Estimate",(X),,18.60%,22.60%,34.40%,24.40%,,48.60%,51.40%,,86.50%,N,1.20%,N,N,0.20%,N,1.90%,85.10%,,4.00%,7.70%,32.50%,23.20%,8.30%,15.90%,8.40%,88.30%,24.30%,,(X),13.00%,87.00%,,(X)
"Congressional District 3 (116th Congress), Tennessee!!Percent!!Margin of Error",(X),,±0.4,±0.4,±0.4,±0.4,,±0.3,±0.3,,±0.3,N,±0.2,N,N,±0.1,N,±0.3,±0.4,,±0.5,±0.7,±1.1,±0.9,±0.6,±1.0,±0.7,±0.8,±1.1,,(X),±1.1,±1.1,,(X)
"Congressional District 4 (116th Congress), Tennessee!!Total!!Estimate","596,604",,"129,928","142,554","203,560","120,562",,"286,724","309,880",,"512,482","59,784","9,562",N,N,"2,427",N,"19,323","497,296",,"19,913","50,959","201,042","144,460","49,046","88,335","42,849","525,732","131,184",,"582,985","64,581","518,404",,"59,951"
"Congressional District 4 (116th Congress), Tennessee!!Total!!Margin of Error","±6,006",,"±3,568","±3,612","±3,429","±2,435",,"±3,769","±3,703",,"±5,488","±2,808","±1,599",N,N,±946,N,"±2,865","±5,050",,"±2,573","±4,940","±7,930","±7,010","±4,055","±5,044","±4,010","±6,987","±6,144",,"±5,684","±6,311","±8,050",,"±2,108"
"Congressional District 4 (116th Congress), Tennessee!!Percent!!Estimate",(X),,21.80%,23.90%,34.10%,20.20%,,48.10%,51.90%,,85.90%,10.00%,1.60%,N,N,0.40%,N,3.20%,83.40%,,3.30%,8.50%,33.70%,24.20%,8.20%,14.80%,7.20%,88.10%,22.00%,,(X),11.10%,88.90%,,(X)
"Congressional District 4 (116th Congress), Tennessee!!Percent!!Margin of Error",(X),,±0.5,±0.6,±0.5,±0.4,,±0.4,±0.4,,±0.5,±0.5,±0.3,N,N,±0.2,N,±0.5,±0.6,,±0.4,±0.8,±1.3,±1.2,±0.7,±0.8,±0.7,±0.9,±1.0,,(X),±1.1,±1.1,,(X)
"Congressional District 5 (116th Congress), Tennessee!!Total!!Estimate","564,374",,"140,750","157,663","168,045","97,916",,"267,188","297,186",,"396,439","138,795","11,728",N,N,"5,575",N,"19,306","382,003",,"11,577","31,605","132,284","120,004","35,984","152,718","80,202","521,192","232,920",,"546,092","54,868","491,224",,"64,146"
"Congressional District 5 (116th Congress), Tennessee!!Total!!Margin of Error","±4,679",,"±2,351","±2,686","±1,880","±1,384",,"±2,550","±2,968",,"±3,667","±2,944","±1,698",N,N,"±1,494",N,"±2,466","±2,709",,"±1,860","±2,880","±6,402","±5,480","±3,426","±5,575","±5,110","±5,208","±6,156",,"±5,451","±4,888","±5,996",,"±2,321"
"Congressional District 5 (116th Congress), Tennessee!!Percent!!Estimate",(X),,24.90%,27.90%,29.80%,17.30%,,47.30%,52.70%,,70.20%,24.60%,2.10%,N,N,1.00%,N,3.40%,67.70%,,2.10%,5.60%,23.40%,21.30%,6.40%,27.10%,14.20%,92.30%,41.30%,,(X),10.00%,90.00%,,(X)
"Congressional District 5 (116th Congress), Tennessee!!Percent!!Margin of Error",(X),,±0.3,±0.4,±0.3,±0.2,,±0.3,±0.3,,±0.4,±0.5,±0.3,N,N,±0.3,N,±0.4,±0.5,,±0.3,±0.5,±1.1,±1.0,±0.6,±1.0,±0.9,±0.7,±1.1,,(X),±0.9,±0.9,,(X)
"Congressional District 6 (116th Congress), Tennessee!!Total!!Estimate","608,091",,"113,698","141,184","210,704","142,505",,"295,461","312,630",,"557,722",N,"5,726",N,N,"4,096",N,"11,795","549,585",,"24,688","49,050","214,401","135,144","43,036","93,902","47,870","534,353","141,772",,"595,343","65,389","529,954",,"60,038"
"Congressional District 6 (116th Congress), Tennessee!!Total!!Margin of Error","±4,134",,"±2,947","±2,626","±2,720","±1,699",,"±2,837","±2,920",,"±3,251",N,±777,N,N,"±1,338",N,"±2,292","±2,816",,"±2,862","±3,623","±7,686","±6,578","±3,580","±5,062","±3,720","±5,841","±6,044",,"±4,594","±5,922","±6,317",,"±1,879"
"Congressional District 6 (116th Congress), Tennessee!!Percent!!Estimate",(X),,18.70%,23.20%,34.70%,23.40%,,48.60%,51.40%,,91.70%,N,0.90%,N,N,0.70%,N,1.90%,90.40%,,4.10%,8.10%,35.30%,22.20%,7.10%,15.40%,7.90%,87.90%,23.30%,,(X),11.00%,89.00%,,(X)
"Congressional District 6 (116th Congress), Tennessee!!Percent!!Margin of Error",(X),,±0.4,±0.4,±0.4,±0.3,,±0.3,±0.3,,±0.4,N,±0.1,N,N,±0.2,N,±0.4,±0.4,,±0.5,±0.6,±1.2,±1.1,±0.6,±0.8,±0.6,±0.7,±1.0,,(X),±1.0,±1.0,,(X)
"Congressional District 7 (116th Congress), Tennessee!!Total!!Estimate","590,210",,"120,986","146,740","200,723","121,761",,"287,264","302,946",,"500,981",N,"7,728",N,N,"4,171",N,"20,983","486,598",,"19,303","43,376","189,474","118,155","47,620","111,251","61,031","527,531","172,282",,"573,512","57,648","515,864",,"62,605"
"Congressional District 7 (116th Congress), Tennessee!!Total!!Margin of Error","±4,292",,"±2,464","±3,016","±2,759","±1,837",,"±3,170","±2,761",,"±3,652",N,"±1,404",N,N,"±1,502",N,"±2,058","±3,220",,"±2,410","±4,118","±6,140","±6,607","±3,667","±5,548","±4,200","±6,239","±6,077",,"±4,574","±4,949","±6,710",,"±1,917"
"Congressional District 7 (116th Congress), Tennessee!!Percent!!Estimate",(X),,20.50%,24.90%,34.00%,20.60%,,48.70%,51.30%,,84.90%,N,1.30%,N,N,0.70%,N,3.60%,82.40%,,3.30%,7.30%,32.10%,20.00%,8.10%,18.80%,10.30%,89.40%,29.20%,,(X),10.10%,89.90%,,(X)
"Congressional District 7 (116th Congress), Tennessee!!Percent!!Margin of Error",(X),,±0.4,±0.4,±0.4,±0.3,,±0.3,±0.3,,±0.4,N,±0.2,N,N,±0.3,N,±0.3,±0.5,,±0.4,±0.7,±1.0,±1.1,±0.6,±1.0,±0.7,±0.8,±1.1,,(X),±0.9,±0.9,,(X)
"Congressional District 8 (116th Congress), Tennessee!!Total!!Estimate","536,275",,"96,308","125,398","188,337","126,232",,"255,333","280,942",,"407,033","113,511","5,149",N,N,"2,704",N,"8,733","401,283",,"13,714","40,207","176,077","118,507","35,050","90,879","61,841","482,354","152,720",,"519,841","55,622","464,219",,"60,474"
"Congressional District 8 (116th Congress), Tennessee!!Total!!Margin of Error","±7,548",,"±3,608","±4,986","±4,427","±3,059",,"±4,742","±4,865",,"±5,344","±6,750","±1,473",N,N,±977,N,"±1,464","±5,433",,"±1,817","±3,488","±7,330","±6,307","±3,405","±4,833","±3,871","±7,819","±5,898",,"±7,773","±5,413","±8,267",,"±2,432"
"Congressional District 8 (116th Congress), Tennessee!!Percent!!Estimate",(X),,18.00%,23.40%,35.10%,23.50%,,47.60%,52.40%,,75.90%,21.20%,1.00%,N,N,0.50%,N,1.60%,74.80%,,2.60%,7.50%,32.80%,22.10%,6.50%,16.90%,11.50%,89.90%,28.50%,,(X),10.70%,89.30%,,(X)
"Congressional District 8 (116th Congress), Tennessee!!Percent!!Margin of Error",(X),,±0.6,±0.8,±0.7,±0.6,,±0.6,±0.6,,±1.1,±1.1,±0.3,N,N,±0.2,N,±0.3,±1.1,,±0.3,±0.6,±1.3,±1.1,±0.6,±0.9,±0.7,±0.7,±1.0,,(X),±1.0,±1.0,,(X)
"Congressional District 9 (116th Congress), Tennessee!!Total!!Estimate","502,286",,"127,250","124,763","158,513","91,760",,"228,925","273,361",,"146,902","337,106","7,767",N,N,"4,059",N,"15,482","136,500",,"15,051","45,230","163,413","138,396","27,700","73,837","38,659","442,005","112,496",,"490,102","82,024","408,078",,"44,022"
"Congressional District 9 (116th Congress), Tennessee!!Total!!Margin of Error","±6,769",,"±3,635","±4,619","±4,251","±2,654",,"±4,653","±3,926",,"±5,513","±6,573","±1,575",N,N,"±1,495",N,"±2,563","±5,017",,"±2,719","±3,874","±8,503","±7,061","±3,487","±5,369","±3,823","±8,305","±6,403",,"±7,077","±6,996","±10,343",,"±2,006"
"Congressional District 9 (116th Congress), Tennessee!!Percent!!Estimate",(X),,25.30%,24.80%,31.60%,18.30%,,45.60%,54.40%,,29.20%,67.10%,1.50%,N,N,0.80%,N,3.10%,27.20%,,3.00%,9.00%,32.50%,27.60%,5.50%,14.70%,7.70%,88.00%,22.40%,,(X),16.70%,83.30%,,(X)
"Congressional District 9 (116th Congress), Tennessee!!Percent!!Margin of Error",(X),,±0.6,±0.8,±0.7,±0.5,,±0.5,±0.5,,±1.0,±1.0,±0.3,N,N,±0.3,N,±0.5,±0.9,,±0.5,±0.8,±1.6,±1.3,±0.7,±1.0,±0.8,±1.0,±1.2,,(X),±1.5,±1.5,,(X)
"Congressional District 1 (116th Congress), Texas!!Total!!Estimate","518,180",,"114,289","117,452","158,933","127,506",,"248,307","269,873",,"402,046","94,886","4,464",N,N,"4,659",N,"52,466","357,320",,"15,989","41,574","159,490","150,332","44,764","70,171","35,860","460,617","106,031",,"495,329","70,005","425,324",,"55,169"
"Congressional District 1 (116th Congress), Texas!!Total!!Margin of Error","±4,696",,"±3,488","±3,679","±3,188","±2,107",,"±2,907","±2,753",,"±4,487","±2,439","±1,151",N,N,"±1,535",N,"±3,753","±3,043",,"±2,302","±4,282","±7,123","±5,980","±4,076","±4,686","±3,433","±6,420","±5,378",,"±5,233","±6,405","±7,865",,"±2,377"
"Congressional District 1 (116th Congress), Texas!!Percent!!Estimate",(X),,22.10%,22.70%,30.70%,24.60%,,47.90%,52.10%,,77.60%,18.30%,0.90%,N,N,0.90%,N,10.10%,69.00%,,3.10%,8.00%,30.80%,29.00%,8.60%,13.50%,6.90%,88.90%,20.50%,,(X),14.10%,85.90%,,(X)
"Congressional District 1 (116th Congress), Texas!!Percent!!Margin of Error",(X),,±0.6,±0.6,±0.6,±0.4,,±0.3,±0.3,,±0.5,±0.5,±0.2,N,N,±0.3,N,±0.7,±0.6,,±0.4,±0.8,±1.3,±1.1,±0.8,±0.9,±0.7,±0.9,±1.0,,(X),±1.3,±1.3,,(X)
"Congressional District 2 (116th Congress), Texas!!Total!!Estimate","519,981",,"113,900","143,032","167,574","95,475",,"258,213","261,768",,"367,167","67,749","39,660",N,N,"26,910","14,974","117,268","286,574",,"16,605","25,965","104,525","113,236","35,676","145,334","78,640","477,411","223,974",,"512,995","38,472","474,523",,"85,102"
"Congressional District 2 (116th Congress), Texas!!Total!!Margin of Error","±19,500",,"±10,850","±9,632","±8,330","±5,614",,"±11,462","±10,824",,"±15,124","±9,045","±5,536",N,N,"±6,073","±3,124","±10,423","±11,251",,"±3,492","±4,230","±9,034","±8,515","±4,017","±8,076","±5,498","±17,262","±10,566",,"±19,529","±5,704","±18,141",,"±4,566"
"Congressional District 2 (116th Congress), Texas!!Percent!!Estimate",(X),,21.90%,27.50%,32.20%,18.40%,,49.70%,50.30%,,70.60%,13.00%,7.60%,N,N,5.20%,2.90%,22.60%,55.10%,,3.20%,5.00%,20.10%,21.80%,6.90%,27.90%,15.10%,91.80%,43.10%,,(X),7.50%,92.50%,,(X)
"Congressional District 2 (116th Congress), Texas!!Percent!!Margin of Error",(X),,±1.6,±1.6,±1.2,±1.2,,±1.0,±1.0,,±1.9,±1.6,±1.0,N,N,±1.1,±0.6,±1.6,±1.9,,±0.6,±0.8,±1.4,±1.5,±0.8,±1.3,±1.0,±1.1,±1.7,,(X),±1.0,±1.0,,(X)
"Congressional District 3 (116th Congress), Texas!!Total!!Estimate","584,690",,"111,475","158,906","214,932","99,377",,"280,283","304,407",,"431,645","62,003","69,451",N,N,"8,343","10,732","61,130","379,664",,"9,095","15,926","100,056","126,312","44,876","186,560","101,865","559,669","288,425",,"579,870","28,066","551,804",,"98,010"
"Congressional District 3 (116th Congress), Texas!!Total!!Margin of Error","±9,804",,"±4,606","±4,541","±5,985","±2,614",,"±6,319","±5,249",,"±7,808","±4,283","±3,905",N,N,"±2,270","±2,050","±5,613","±6,626",,"±2,531","±2,776","±7,721","±6,520","±4,189","±7,363","±5,107","±10,696","±8,946",,"±10,112","±4,424","±10,909",,"±3,450"
