Label (Grouping),Citizens 18 years and over, AGE, 18 to 29 years, 30 to 44 years, 45 to 64 years, 65 years and over, SEX, Male, Female, RACE AND HISPANIC ORIGIN, White alone, Black or African American alone, Asian alone, American Indian and Alaska Native alone, Native Hawaiian and Other Pacific Islander alone, Some Other Race alone, Two or More Races, Hispanic or Latino," White alone, Not Hispanic or Latino", EDUCATIONAL ATTAINMENT, Less than 9th grade," 9th to 12th grade, no diploma", High school graduate (includes equivalency)," Some college, no degree", Associate's degree, Bachelor's degree, Graduate or professional degree, High school degree or higher, Bachelor's degree or higher, POVERTY STATUS," Total Citizens, 18 years and older, for whom poverty status is determined", Income in the past 12 months below poverty level, Income in the past 12 months at or above the poverty level, HOUSEHOLD INCOME (IN 2019 INFLATION-ADJUSTED DOLLARS)," Median Household Income for Households with a Citizen, Voting-Age Householder"
2604_!!Percent!!Estimate,(X),,20.70%,20.60%,33.70%,24.90%,,49.80%,50.20%,,94.80%,N,0.70%,N,N,N,N,2.90%,92.70%,,2.60%,6.40%,34.70%,25.70%,9.60%,13.10%,7.80%,90.90%,20.90%,,(X),12.80%,87.20%,,(X)
2604_!!Percent!!Margin of Error,(X),,±0.4,±0.3,±0.3,±0.3,,±0.3,±0.3,,±0.3,N,±0.1,N,N,N,N,±0.2,±0.3,,±0.4,±0.5,±1.0,±0.9,±0.5,±0.6,±0.5,±0.6,±0.7,,(X),±0.7,±0.7,,(X)
2605_!!Total!!Estimate,521742,,99114,110685,183992,127951,,249238,272504,,415208,85562,4111,N,N,N,N,20884,399519,,10677,44183,173364,144175,52367,63877,33099,466882,96976,,516650,77373,439277,,47579
2605_!!Total!!Margin of Error,±2894,,±1873,±2315,±2206,±1674,,±1786,±2040,,±2847,±2078,±721,N,N,N,N,±935,±2644,,±1534,±3743,±6336,±6354,±3058,±3874,±3025,±4869,±5014,,±3224,±5798,±6246,,±1212
2605_!!Percent!!Estimate,(X),,19.00%,21.20%,35.30%,24.50%,,47.80%,52.20%,,79.60%,16.40%,0.80%,N,N,N,N,4.00%,76.60%,,2.00%,8.50%,33.20%,27.60%,10.00%,12.20%,6.30%,89.50%,18.60%,,(X),15.00%,85.00%,,(X)
2605_!!Percent!!Margin of Error,(X),,±0.3,±0.4,±0.4,±0.3,,±0.2,±0.2,,±0.3,±0.4,±0.1,N,N,N,N,±0.2,±0.3,,±0.3,±0.7,±1.2,±1.2,±0.6,±0.7,±0.6,±0.8,±1.0,,(X),±1.1,±1.1,,(X)
2606_!!Total!!Estimate,542562,,117180,121522,176498,127362,,264833,277729,,474591,43121,5011,N,N,3858,N,20513,460235,,12441,37384,165233,138787,48607,90274,49836,492737,140110,,532701,66544,466157,,56655
2606_!!Total!!Margin of Error,±3022,,±2031,±1991,±2165,±1016,,±1845,±2139,,±2821,±2202,±1203,N,N,±1120,N,±1653,±2084,,±1855,±2768,±5386,±5021,±3491,±4565,±2989,±4710,±5266,,±3365,±4407,±5387,,±1434
2606_!!Percent!!Estimate,(X),,21.60%,22.40%,32.50%,23.50%,,48.80%,51.20%,,87.50%,7.90%,0.90%,N,N,0.70%,N,3.80%,84.80%,,2.30%,6.90%,30.50%,25.60%,9.00%,16.60%,9.20%,90.80%,25.80%,,(X),12.50%,87.50%,,(X)
2606_!!Percent!!Margin of Error,(X),,±0.3,±0.3,±0.3,±0.2,,±0.2,±0.2,,±0.3,±0.4,±0.2,N,N,±0.2,N,±0.3,±0.3,,±0.3,±0.5,±1.0,±0.9,±0.6,±0.8,±0.5,±0.6,±0.9,,(X),±0.8,±0.8,,(X)
2607_!!Total!!Estimate,550964,,98763,121877,195675,134649,,275688,275276,,508776,N,4836,N,N,N,N,18754,493471,,11673,37315,178008,135244,55373,86640,46711,501976,133351,,530207,51504,478703,,61189
2607_!!Total!!Margin of Error,±3494,,±2285,±2549,±2637,±1794,,±2462,±2466,,±3597,N,±1449,N,N,N,N,±1304,±3426,,±1670,±2847,±5959,±4835,±3203,±4461,±3160,±4604,±4829,,±4092,±3744,±5107,,±1034
2607_!!Percent!!Estimate,(X),,17.90%,22.10%,35.50%,24.40%,,50.00%,50.00%,,92.30%,N,0.90%,N,N,N,N,3.40%,89.60%,,2.10%,6.80%,32.30%,24.50%,10.10%,15.70%,8.50%,91.10%,24.20%,,(X),9.70%,90.30%,,(X)
2607_!!Percent!!Margin of Error,(X),,±0.4,±0.4,±0.4,±0.3,,±0.3,±0.3,,±0.4,N,±0.3,N,N,N,N,±0.2,±0.4,,±0.3,±0.5,±1.1,±0.9,±0.6,±0.8,±0.6,±0.6,±0.8,,(X),±0.7,±0.7,,(X)
2608_!!Total!!Estimate,562613,,131060,118940,196736,115877,,270124,292489,,499463,31602,16846,N,N,N,10387,22756,481275,,6873,24661,126893,148401,47904,129251,78630,531079,207881,,543580,50172,493408,,75068
2608_!!Total!!Margin of Error,±5772,,±3328,±3063,±3625,±3538,,±4010,±3233,,±5869,±2192,±2123,N,N,N,±1839,±1922,±5734,,±1542,±2594,±4894,±6528,±2741,±4437,±3411,±6182,±5363,,±5968,±4273,±6531,,±1747
2608_!!Percent!!Estimate,(X),,23.30%,21.10%,35.00%,20.60%,,48.00%,52.00%,,88.80%,5.60%,3.00%,N,N,N,1.80%,4.00%,85.50%,,1.20%,4.40%,22.60%,26.40%,8.50%,23.00%,14.00%,94.40%,36.90%,,(X),9.20%,90.80%,,(X)
2608_!!Percent!!Margin of Error,(X),,±0.5,±0.5,±0.6,±0.6,,±0.4,±0.4,,±0.6,±0.4,±0.4,N,N,N,±0.3,±0.3,±0.6,,±0.3,±0.5,±0.9,±1.1,±0.5,±0.8,±0.6,±0.5,±0.9,,(X),±0.8,±0.8,,(X)
2609_!!Total!!Estimate,556032,,111435,135581,187191,121825,,265175,290857,,442557,N,23030,N,N,N,11337,11308,433648,,15479,31638,165995,132040,47223,104368,59289,508915,163657,,551636,46288,505348,,63208
2609_!!Total!!Margin of Error,±6842,,±5206,±4740,±5231,±4087,,±4319,±4932,,±7612,N,±2631,N,N,N,±1939,±2029,±7693,,±2541,±2939,±6901,±5870,±3680,±4703,±3600,±6614,±5894,,±6957,±3845,±7318,,±1815
2609_!!Percent!!Estimate,(X),,20.00%,24.40%,33.70%,21.90%,,47.70%,52.30%,,79.60%,N,4.10%,N,N,N,2.00%,2.00%,78.00%,,2.80%,5.70%,29.90%,23.70%,8.50%,18.80%,10.70%,91.50%,29.40%,,(X),8.40%,91.60%,,(X)
2609_!!Percent!!Margin of Error,(X),,±0.8,±0.9,±0.8,±0.7,,±0.6,±0.6,,±1.0,N,±0.5,N,N,N,±0.3,±0.4,±1.0,,±0.4,±0.5,±1.2,±1.1,±0.7,±0.8,±0.6,±0.6,±1.0,,(X),±0.7,±0.7,,(X)
2610_!!Total!!Estimate,554418,,97451,115399,205003,136565,,272654,281764,,518108,N,6806,N,N,3065,N,11939,509968,,11155,34101,177271,139301,61865,84841,45884,509162,130725,,548515,41860,506655,,67518
2610_!!Total!!Margin of Error,±5224,,±3552,±3424,±4105,±3473,,±3118,±3597,,±6297,N,±1716,N,N,±1169,N,±1342,±6092,,±1615,±2855,±6075,±5659,±3393,±4084,±2715,±5862,±4719,,±5649,±3178,±6191,,±1822
2610_!!Percent!!Estimate,(X),,17.60%,20.80%,37.00%,24.60%,,49.20%,50.80%,,93.50%,N,1.20%,N,N,0.60%,N,2.20%,92.00%,,2.00%,6.20%,32.00%,25.10%,11.20%,15.30%,8.30%,91.80%,23.60%,,(X),7.60%,92.40%,,(X)
2610_!!Percent!!Margin of Error,(X),,±0.6,±0.6,±0.6,±0.6,,±0.4,±0.4,,±0.8,N,±0.3,N,N,±0.2,N,±0.2,±0.8,,±0.3,±0.5,±1.0,±1.0,±0.6,±0.7,±0.5,±0.6,±0.8,,(X),±0.6,±0.6,,(X)
2611_!!Total!!Estimate,537952,,91909,113839,206317,125887,,264093,273859,,460322,28506,37059,N,N,1699,9255,16518,447104,,6117,19993,107238,117806,47383,140327,99088,511842,239415,,533420,28203,505217,,86596
2611_!!Total!!Margin of Error,±7149,,±5041,±5002,±5547,±4625,,±4717,±4849,,±7143,±4272,±3529,N,N,±669,±1997,±2311,±7494,,±1072,±2114,±5170,±5548,±3650,±5747,±3481,±7132,±6377,,±6915,±3460,±7693,,±1927
2611_!!Percent!!Estimate,(X),,17.10%,21.20%,38.40%,23.40%,,49.10%,50.90%,,85.60%,5.30%,6.90%,N,N,0.30%,1.70%,3.10%,83.10%,,1.10%,3.70%,19.90%,21.90%,8.80%,26.10%,18.40%,95.10%,44.50%,,(X),5.30%,94.70%,,(X)
2611_!!Percent!!Margin of Error,(X),,±0.9,±1.0,±0.9,±0.8,,±0.6,±0.6,,±0.9,±0.8,±0.7,N,N,±0.1,±0.4,±0.4,±1.1,,±0.2,±0.4,±0.9,±1.0,±0.7,±1.0,±0.7,±0.4,±1.1,,(X),±0.7,±0.7,,(X)
2612_!!Total!!Estimate,525725,,139539,114277,164689,107220,,251851,273874,,424416,59495,19213,N,N,7249,13253,26547,408006,,11312,33814,137247,139853,40927,90744,71828,480599,162572,,508207,66131,442076,,62744
2612_!!Total!!Margin of Error,±7816,,±4763,±4131,±4726,±4435,,±4735,±5386,,±8645,±3685,±1723,N,N,±2440,±2165,±3477,±8957,,±1408,±2669,±5325,±6046,±2871,±4683,±4018,±7551,±6647,,±8308,±4946,±8501,,±1684
2612_!!Percent!!Estimate,(X),,26.50%,21.70%,31.30%,20.40%,,47.90%,52.10%,,80.70%,11.30%,3.70%,N,N,1.40%,2.50%,5.00%,77.60%,,2.20%,6.40%,26.10%,26.60%,7.80%,17.30%,13.70%,91.40%,30.90%,,(X),13.00%,87.00%,,(X)
2612_!!Percent!!Margin of Error,(X),,±0.8,±0.8,±0.7,±0.8,,±0.6,±0.6,,±1.1,±0.7,±0.3,N,N,±0.5,±0.4,±0.7,±1.1,,±0.3,±0.5,±0.9,±1.1,±0.5,±0.9,±0.7,±0.5,±1.2,,(X),±0.9,±0.9,,(X)
2613_!!Total!!Estimate,485588,,116798,115661,158143,94986,,227640,257948,,190393,271825,2866,N,N,8394,9069,21764,178293,,15648,56469,180470,126703,36160,45689,24449,413471,70138,,480670,105401,375269,,38901
2613_!!Total!!Margin of Error,±10509,,±5139,±4606,±5402,±3748,,±6219,±6655,,±6183,±9678,±854,N,N,±2395,±1889,±2954,±5677,,±2608,±3932,±9317,±6618,±3356,±2916,±2277,±10273,±3530,,±10220,±6254,±9718,,±1652
2613_!!Percent!!Estimate,(X),,24.10%,23.80%,32.60%,19.60%,,46.90%,53.10%,,39.20%,56.00%,0.60%,N,N,1.70%,1.90%,4.50%,36.70%,,3.20%,11.60%,37.20%,26.10%,7.40%,9.40%,5.00%,85.10%,14.40%,,(X),21.90%,78.10%,,(X)
2613_!!Percent!!Margin of Error,(X),,±0.8,±0.9,±0.9,±0.7,,±0.8,±0.8,,±1.2,±1.2,±0.2,N,N,±0.5,±0.4,±0.6,±1.1,,±0.5,±0.8,±1.6,±1.2,±0.7,±0.6,±0.5,±1.0,±0.8,,(X),±1.2,±1.2,,(X)
2614_!!Total!!Estimate,496156,,108198,114345,165266,108347,,230572,265584,,176416,290354,15272,N,N,3613,8673,14376,167550,,12492,36640,132503,122807,33785,91095,66834,447024,157929,,488228,81766,406462,,50034
2614_!!Total!!Margin of Error,±9629,,±5422,±5059,±5898,±4272,,±6093,±6093,,±6359,±9796,±2572,N,N,±1017,±1559,±2088,±6337,,±1900,±3927,±6197,±5518,±3114,±5020,±4017,±9538,±6228,,±9537,±6219,±10669,,±1674
2614_!!Percent!!Estimate,(X),,21.80%,23.00%,33.30%,21.80%,,46.50%,53.50%,,35.60%,58.50%,3.10%,N,N,0.70%,1.70%,2.90%,33.80%,,2.50%,7.40%,26.70%,24.80%,6.80%,18.40%,13.50%,90.10%,31.80%,,(X),16.70%,83.30%,,(X)
2614_!!Percent!!Margin of Error,(X),,±1.0,±0.9,±1.0,±0.8,,±0.8,±0.8,,±1.3,±1.3,±0.5,N,N,±0.2,±0.3,±0.4,±1.3,,±0.4,±0.8,±1.1,±1.0,±0.6,±1.0,±0.8,±0.9,±1.3,,(X),±1.3,±1.3,,(X)
2701_!!Total!!Estimate,497765,,103358,112843,160997,120567,,244261,253504,,463854,8465,9536,N,N,6791,7001,18524,452931,,9322,22874,146822,114765,61869,93116,48997,465569,142113,,480386,38920,441466,,67213
2701_!!Total!!Margin of Error,±2954,,±2143,±2109,±1886,±1027,,±1920,±2150,,±2282,±1565,±1416,N,N,±1235,±1303,±1729,±1737,,±1488,±1856,±4750,±4131,±3502,±3899,±2535,±3526,±4360,,±3456,±3023,±4301,,±1206
2701_!!Percent!!Estimate,(X),,20.80%,22.70%,32.30%,24.20%,,49.10%,50.90%,,93.20%,1.70%,1.90%,N,N,1.40%,1.40%,3.70%,91.00%,,1.90%,4.60%,29.50%,23.10%,12.40%,18.70%,9.80%,93.50%,28.60%,,(X),8.10%,91.90%,,(X)
2701_!!Percent!!Margin of Error,(X),,±0.4,±0.4,±0.4,±0.2,,±0.3,±0.3,,±0.5,±0.3,±0.3,N,N,±0.2,±0.3,±0.3,±0.5,,±0.3,±0.4,±0.9,±0.8,±0.7,±0.8,±0.5,±0.5,±0.9,,(X),±0.6,±0.6,,(X)
2702_!!Total!!Estimate,517880,,97765,135104,183241,101770,,253501,264379,,453246,20613,20697,N,N,7791,N,20144,441499,,6704,19198,117927,117500,60578,134801,61172,491978,195973,,508595,27376,481219,,91024
2702_!!Total!!Margin of Error,±3963,,±2455,±2693,±2238,±1929,,±2618,±2416,,±3889,±2548,±2134,N,N,±2333,N,±1969,±3389,,±1726,±2724,±5590,±5408,±3795,±5387,±3710,±4896,±5841,,±4017,±2829,±4620,,±1869
2702_!!Percent!!Estimate,(X),,18.90%,26.10%,35.40%,19.70%,,48.90%,51.10%,,87.50%,4.00%,4.00%,N,N,1.50%,N,3.90%,85.30%,,1.30%,3.70%,22.80%,22.70%,11.70%,26.00%,11.80%,95.00%,37.80%,,(X),5.40%,94.60%,,(X)
2702_!!Percent!!Margin of Error,(X),,±0.4,±0.5,±0.4,±0.3,,±0.3,±0.3,,±0.6,±0.5,±0.4,N,N,±0.5,N,±0.4,±0.7,,±0.3,±0.5,±1.1,±1.0,±0.7,±1.0,±0.7,±0.6,±1.1,,(X),±0.6,±0.6,,(X)
2703_!!Total!!Estimate,528462,,86071,132999,193977,115415,,252533,275929,,444646,32674,31384,N,N,5267,N,14187,436227,,8069,16345,99066,105851,50391,167782,80958,504048,248740,,525290,24952,500338,,98267
2703_!!Total!!Margin of Error,±6347,,±4672,±5204,±5450,±3795,,±4886,±4306,,±7084,±4215,±3242,N,N,±2199,N,±2464,±7080,,±1661,±2008,±6067,±5450,±3563,±5756,±4559,±5983,±6504,,±6251,±3188,±6667,,±2410
2703_!!Percent!!Estimate,(X),,16.30%,25.20%,36.70%,21.80%,,47.80%,52.20%,,84.10%,6.20%,5.90%,N,N,1.00%,N,2.70%,82.50%,,1.50%,3.10%,18.70%,20.00%,9.50%,31.70%,15.30%,95.40%,47.10%,,(X),4.80%,95.20%,,(X)
2703_!!Percent!!Margin of Error,(X),,±0.8,±1.0,±0.9,±0.7,,±0.6,±0.6,,±1.0,±0.8,±0.6,N,N,±0.4,N,±0.5,±1.0,,±0.3,±0.4,±1.1,±1.0,±0.7,±1.1,±0.8,±0.5,±1.1,,(X),±0.6,±0.6,,(X)
2704_!!Total!!Estimate,516588,,111422,132863,165215,107088,,248489,268099,,401409,43894,50667,N,N,4412,N,22716,387250,,13455,21748,113318,103834,45788,140906,77539,481385,218445,,503525,42559,460966,,77235
2704_!!Total!!Margin of Error,±5198,,±2978,±3393,±2598,±1805,,±3295,±2867,,±3140,±3111,±2341,N,N,±1396,N,±2121,±3195,,±1920,±2228,±5443,±4366,±3286,±4859,±3867,±5168,±5630,,±5505,±4616,±6619,,±2254
2704_!!Percent!!Estimate,(X),,21.60%,25.70%,32.00%,20.70%,,48.10%,51.90%,,77.70%,8.50%,9.80%,N,N,0.90%,N,4.40%,75.00%,,2.60%,4.20%,21.90%,20.10%,8.90%,27.30%,15.00%,93.20%,42.30%,,(X),8.50%,91.50%,,(X)
2704_!!Percent!!Margin of Error,(X),,±0.5,±0.6,±0.5,±0.4,,±0.3,±0.3,,±0.7,±0.6,±0.4,N,N,±0.3,N,±0.4,±0.7,,±0.4,±0.4,±1.0,±0.8,±0.6,±1.0,±0.8,±0.6,±1.1,,(X),±0.9,±0.9,,(X)
2705_!!Total!!Estimate,535070,,138779,151839,147874,96578,,265476,269594,,404184,73216,23338,N,N,11794,17839,29379,390027,,13075,20463,95556,111480,43571,167169,83756,501532,250925,,520883,62285,458598,,70032
2705_!!Total!!Margin of Error,±8947,,±5217,±5875,±5269,±3454,,±5894,±4806,,±8618,±5387,±3084,N,N,±2489,±2652,±3249,±7829,,±2108,±2451,±5784,±5628,±3238,±7118,±4136,±9380,±7693,,±9071,±4444,±9164,,±2102
2705_!!Percent!!Estimate,(X),,25.90%,28.40%,27.60%,18.00%,,49.60%,50.40%,,75.50%,13.70%,4.40%,N,N,2.20%,3.30%,5.50%,72.90%,,2.40%,3.80%,17.90%,20.80%,8.10%,31.20%,15.70%,93.70%,46.90%,,(X),12.00%,88.00%,,(X)
2705_!!Percent!!Margin of Error,(X),,±0.8,±1.0,±0.9,±0.6,,±0.6,±0.6,,±1.0,±1.0,±0.6,N,N,±0.5,±0.5,±0.6,±1.0,,±0.4,±0.5,±1.0,±0.9,±0.6,±1.2,±0.8,±0.6,±1.3,,(X),±0.8,±0.8,,(X)
2706_!!Total!!Estimate,533104,,107376,139983,188949,96796,,268510,264594,,488935,16208,12503,N,N,4997,N,10635,483584,,9719,22528,145407,130552,65982,113982,44934,500857,158916,,522992,29432,493560,,84852
2706_!!Total!!Margin of Error,±5495,,±3502,±3427,±3443,±2707,,±3462,±3394,,±5400,±2298,±1888,N,N,±1477,N,±1554,±5269,,±2165,±2522,±5612,±5870,±3290,±5079,±2882,±5848,±5940,,±5474,±3383,±6305,,±2191
2706_!!Percent!!Estimate,(X),,20.10%,26.30%,35.40%,18.20%,,50.40%,49.60%,,91.70%,3.00%,2.30%,N,N,0.90%,N,2.00%,90.70%,,1.80%,4.20%,27.30%,24.50%,12.40%,21.40%,8.40%,94.00%,29.80%,,(X),5.60%,94.40%,,(X)
2706_!!Percent!!Margin of Error,(X),,±0.6,±0.6,±0.5,±0.5,,±0.4,±0.4,,±0.5,±0.4,±0.4,N,N,±0.3,N,±0.3,±0.6,,±0.4,±0.5,±1.0,±1.0,±0.7,±0.9,±0.5,±0.6,±1.1,,(X),±0.6,±0.6,,(X)
2707_!!Total!!Estimate,501373,,91495,111062,165142,133674,,248247,253126,,466787,5583,3421,N,N,3880,N,14881,457374,,11466,27790,157882,120078,75025,79619,29513,462117,109132,,487994,45571,442423,,60989
2707_!!Total!!Margin of Error,±2708,,±2150,±1719,±1578,±1372,,±1884,±1956,,±2130,±1156,±558,N,N,±1087,N,±1196,±2043,,±1242,±2306,±4068,±3979,±2721,±3183,±1831,±3666,±3776,,±2960,±3035,±3990,,±913
2707_!!Percent!!Estimate,(X),,18.20%,22.20%,32.90%,26.70%,,49.50%,50.50%,,93.10%,1.10%,0.70%,N,N,0.80%,N,3.00%,91.20%,,2.30%,5.50%,31.50%,23.90%,15.00%,15.90%,5.90%,92.20%,21.80%,,(X),9.30%,90.70%,,(X)
2707_!!Percent!!Margin of Error,(X),,±0.4,±0.3,±0.3,±0.3,,±0.3,±0.3,,±0.3,±0.2,±0.1,N,N,±0.2,N,±0.2,±0.4,,±0.2,±0.5,±0.8,±0.7,±0.5,±0.6,±0.4,±0.5,±0.7,,(X),±0.6,±0.6,,(X)
2708_!!Total!!Estimate,527314,,89418,114914,181209,141773,,264847,262467,,496123,5080,3476,N,N,1365,N,6414,491796,,7882,28800,167631,134527,65742,82203,40529,490632,122732,,512547,53359,459188,,61750
2708_!!Total!!Margin of Error,±1557,,±1056,±1217,±1421,±826,,±1192,±1269,,±1449,±741,±849,N,N,±560,N,±846,±1135,,±1028,±2068,±4392,±3493,±2818,±3705,±2286,±2851,±4329,,±2297,±3407,±4073,,±1100
2708_!!Percent!!Estimate,(X),,17.00%,21.80%,34.40%,26.90%,,50.20%,49.80%,,94.10%,1.00%,0.70%,N,N,0.30%,N,1.20%,93.30%,,1.50%,5.50%,31.80%,25.50%,12.50%,15.60%,7.70%,93.00%,23.30%,,(X),10.40%,89.60%,,(X)
2708_!!Percent!!Margin of Error,(X),,±0.2,±0.2,±0.2,±0.2,,±0.2,±0.2,,±0.2,±0.1,±0.2,N,N,±0.1,N,±0.2,±0.2,,±0.2,±0.4,±0.8,±0.7,±0.5,±0.7,±0.4,±0.4,±0.8,,(X),±0.7,±0.7,,(X)
2801_!!Total!!Estimate,579478,,123736,140044,192804,122894,,276930,302548,,401674,164577,3641,N,N,3097,N,10354,395345,,22122,61959,179777,144390,58079,70722,42429,495397,113151,,562273,76919,485354,,50174
2801_!!Total!!Margin of Error,±4003,,±2025,±3999,±4276,±2295,,±2494,±2587,,±2736,±3734,±1130,N,N,±1181,N,±1229,±2134,,±2888,±3957,±7004,±7735,±4477,±4256,±3712,±5282,±6229,,±4577,±5563,±6320,,±1978
2801_!!Percent!!Estimate,(X),,21.40%,24.20%,33.30%,21.20%,,47.80%,52.20%,,69.30%,28.40%,0.60%,N,N,0.50%,N,1.80%,68.20%,,3.80%,10.70%,31.00%,24.90%,10.00%,12.20%,7.30%,85.50%,19.50%,,(X),13.70%,86.30%,,(X)
2801_!!Percent!!Margin of Error,(X),,±0.3,±0.6,±0.7,±0.4,,±0.3,±0.3,,±0.4,±0.5,±0.2,N,N,±0.2,N,±0.2,±0.4,,±0.5,±0.7,±1.2,±1.3,±0.8,±0.7,±0.6,±0.8,±1.1,,(X),±1.0,±1.0,,(X)
2802_!!Total!!Estimate,519040,,114635,128811,164116,111478,,245667,273373,,168815,341267,1647,N,N,N,N,6814,165865,,25907,65176,163417,132227,44434,54637,33242,427957,87879,,492333,103977,388356,,37428
2802_!!Total!!Margin of Error,±6247,,±3146,±4191,±4689,±2769,,±3444,±3662,,±4878,±5441,±704,N,N,N,N,±2079,±4428,,±2665,±4290,±6773,±6349,±3673,±3779,±3756,±6309,±5304,,±6422,±6168,±7874,,±1642
2802_!!Percent!!Estimate,(X),,22.10%,24.80%,31.60%,21.50%,,47.30%,52.70%,,32.50%,65.70%,0.30%,N,N,N,N,1.30%,32.00%,,5.00%,12.60%,31.50%,25.50%,8.60%,10.50%,6.40%,82.50%,16.90%,,(X),21.10%,78.90%,,(X)
2802_!!Percent!!Margin of Error,(X),,±0.6,±0.8,±0.8,±0.5,,±0.3,±0.3,,±0.8,±0.8,±0.1,N,N,N,N,±0.4,±0.7,,±0.5,±0.8,±1.3,±1.2,±0.7,±0.7,±0.7,±0.8,±1.0,,(X),±1.2,±1.2,,(X)
2803_!!Total!!Estimate,560442,,119089,135056,182446,123851,,264922,295520,,351971,N,4088,N,N,3222,N,8125,347321,,21815,56801,152472,135257,58742,84280,51075,481826,135355,,539999,91073,448926,,49789
2803_!!Total!!Margin of Error,±6395,,±3184,±5074,±5235,±2957,,±3772,±4069,,±4688,N,±1515,N,N,±1466,N,±2032,±4587,,±2461,±4560,±7895,±7514,±4062,±5758,±4081,±7543,±7907,,±6305,±7576,±8770,,±1932
2803_!!Percent!!Estimate,(X),,21.20%,24.10%,32.60%,22.10%,,47.30%,52.70%,,62.80%,N,0.70%,N,N,0.60%,N,1.40%,62.00%,,3.90%,10.10%,27.20%,24.10%,10.50%,15.00%,9.10%,86.00%,24.20%,,(X),16.90%,83.10%,,(X)
2803_!!Percent!!Margin of Error,(X),,±0.5,±0.9,±0.9,±0.4,,±0.4,±0.4,,±0.7,N,±0.3,N,N,±0.3,N,±0.4,±0.7,,±0.4,±0.8,±1.4,±1.3,±0.7,±1.0,±0.7,±0.9,±1.4,,(X),±1.4,±1.4,,(X)
2804_!!Total!!Estimate,587363,,122390,140580,197555,126838,,279686,307677,,432127,N,6506,N,N,N,N,17585,418651,,18795,51319,180323,150321,68317,76624,41664,517249,118288,,568189,92983,475206,,47499
2804_!!Total!!Margin of Error,±2982,,±2548,±3786,±3767,±2419,,±2338,±2382,,±3347,N,±1237,N,N,N,N,±2151,±2439,,±2198,±4514,±7870,±7019,±5308,±5491,±4191,±5630,±6709,,±3674,±7243,±7901,,±1950
2804_!!Percent!!Estimate,(X),,20.80%,23.90%,33.60%,21.60%,,47.60%,52.40%,,73.60%,N,1.10%,N,N,N,N,3.00%,71.30%,,3.20%,8.70%,30.70%,25.60%,11.60%,13.00%,7.10%,88.10%,20.10%,,(X),16.40%,83.60%,,(X)
2804_!!Percent!!Margin of Error,(X),,±0.4,±0.6,±0.6,±0.4,,±0.3,±0.3,,±0.5,N,±0.2,N,N,N,N,±0.4,±0.4,,±0.4,±0.8,±1.3,±1.2,±0.9,±0.9,±0.7,±0.8,±1.2,,(X),±1.3,±1.3,,(X)
2901_!!Total!!Estimate,547921,,131335,141110,170207,105269,,252790,295131,,256956,258055,12620,N,N,7224,11654,14818,250054,,10541,40210,157227,137079,36652,95537,70675,497170,166212,,532907,76423,456484,,50233
2901_!!Total!!Margin of Error,±8318,,±4682,±4527,±3817,±3177,,±4952,±5466,,±6964,±5376,±2427,N,N,±2313,±2673,±2240,±6832,,±1718,±3869,±7453,±7529,±4225,±5433,±4103,±9856,±6559,,±8466,±6162,±9285,,±1318
2901_!!Percent!!Estimate,(X),,24.00%,25.80%,31.10%,19.20%,,46.10%,53.90%,,46.90%,47.10%,2.30%,N,N,1.30%,2.10%,2.70%,45.60%,,1.90%,7.30%,28.70%,25.00%,6.70%,17.40%,12.90%,90.70%,30.30%,,(X),14.30%,85.70%,,(X)
2901_!!Percent!!Margin of Error,(X),,±0.7,±0.7,±0.6,±0.6,,±0.6,±0.6,,±0.9,±1.0,±0.4,N,N,±0.4,±0.5,±0.4,±0.9,,±0.3,±0.7,±1.2,±1.3,±0.8,±0.9,±0.7,±0.8,±1.1,,(X),±1.1,±1.1,,(X)
2902_!!Total!!Estimate,576008,,92246,127568,206489,149705,,272062,303946,,526396,N,16731,N,N,N,N,10682,517263,,6984,21590,113408,111709,40941,166888,114488,547434,281376,,566542,27707,538835,,88086
2902_!!Total!!Margin of Error,±10272,,±5380,±5154,±4916,±3655,,±5968,±6359,,±9647,N,±2228,N,N,N,N,±1907,±9493,,±1394,±2943,±6070,±6107,±3631,±6201,±3674,±9786,±7234,,±10294,±4640,±10008,,±2168
2902_!!Percent!!Estimate,(X),,16.00%,22.10%,35.80%,26.00%,,47.20%,52.80%,,91.40%,N,2.90%,N,N,N,N,1.90%,89.80%,,1.20%,3.70%,19.70%,19.40%,7.10%,29.00%,19.90%,95.00%,48.80%,,(X),4.90%,95.10%,,(X)
2902_!!Percent!!Margin of Error,(X),,±0.8,±0.8,±0.7,±0.7,,±0.6,±0.6,,±0.8,N,±0.4,N,N,N,N,±0.3,±0.9,,±0.2,±0.5,±1.0,±1.0,±0.6,±1.0,±0.6,±0.6,±1.1,,(X),±0.8,±0.8,,(X)
2903_!!Total!!Estimate,608065,,109110,154862,210350,133743,,302593,305472,,569345,21261,5691,N,N,1791,N,11754,560714,,13539,39333,189358,143067,60718,109438,52612,555193,162050,,589784,43039,546745,,70014
2903_!!Total!!Margin of Error,±6446,,±3270,±3823,±4612,±2873,,±3794,±3828,,±6273,±2403,±1135,N,N,±674,N,±1579,±6194,,±2175,±3679,±6682,±5918,±4780,±5435,±4146,±7576,±6367,,±6759,±3894,±6461,,±1957
